Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Michal Handzuš,35,CHI,C,11,1,5,6,7,4,1,0,0,0,5,0,0,10,10.0,16,133:12,12:07,71,58,55.0,7,9,8,1,
Keith Aulie,23,TBL,D,45,2,5,7,1,60,2,0,0,0,5,0,0,37,5.4,76,576:51,12:49,0,0,,42,91,5,8,
Victor Bartley,24,NSH,D,24,0,7,7,2,6,0,0,0,0,7,0,0,19,0.0,52,469:01,19:33,0,0,,28,35,11,15,
Taylor Beck,21,NSH,LW,16,3,4,7,0,2,2,1,0,0,3,1,0,39,7.7,64,257:30,16:06,6,3,66.7,11,13,3,5,
Jonathon Blum,24,NSH,D,35,1,6,7,-1,6,1,0,0,0,6,0,0,26,3.8,55,500:29,14:18,0,0,,44,32,10,12,
Justin Braun,25,SJS,D,41,0,7,7,-5,6,0,0,0,0,6,1,0,48,0.0,139,770:51,18:48,0,0,,51,53,12,24,
Alex Chiasson,22,DAL,RW,7,6,1,7,3,0,5,1,0,1,1,0,0,13,46.2,20,98:34,14:05,5,13,27.8,2,10,1,0,
Simon Despres,21,PIT,D,33,2,5,7,9,20,2,0,0,0,4,1,0,33,6.1,62,498:50,15:07,0,0,,31,48,4,16,
Colin Fraser,28,LAK,C,34,2,5,7,-4,25,2,0,0,0,5,0,0,19,10.5,40,318:36,9:22,78,90,46.4,11,71,7,1,
Roman Horák,21,CGY,C,20,2,5,7,-5,2,2,0,0,0,4,0,1,28,7.1,48,290:33,14:32,93,112,45.4,13,18,12,5,
Ryan Jones,28,EDM,LW,27,2,5,7,0,17,2,0,0,0,5,0,0,38,5.3,63,350:23,12:59,2,7,22.2,13,55,10,12,
Tomáš Kundrátek,23,WSH,D,25,1,6,7,-5,8,1,0,0,0,3,3,0,23,4.3,63,403:38,16:09,0,0,,23,21,5,10,
Dalton Prout,22,CBJ,D,28,1,6,7,15,25,1,0,0,0,5,1,0,16,6.3,49,518:48,18:32,0,0,,40,51,6,15,
Kris Russell,25,STL,D,33,1,6,7,6,9,0,1,0,0,5,1,0,41,2.4,78,529:36,16:03,0,0,,57,26,10,8,
