Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wilf Paiement,30,NYR,RW,8,1,6,7,2,13,1,0,0,0,5,1,0,14,7.1,,,
Jim Benning,22,TOR,D,52,4,21,25,-5,71,2,2,0,0,11,10,0,76,5.3,,,
Marc Crawford,24,VAN,LW,54,11,14,25,-7,92,11,0,0,0,14,0,0,80,13.8,,,
Steve Dykstra,23,BUF,D,64,4,21,25,-1,108,2,1,1,0,17,4,0,70,5.7,,,
Dan Hodgson,20,TOR,C,40,13,12,25,-5,12,11,2,0,0,9,3,0,54,24.1,,,
Gates Orlando,23,BUF,C,60,13,12,25,-6,29,10,1,2,1,11,1,0,70,18.6,,,
Joel Quenneville,27,HAR,D,71,5,20,25,23,83,4,1,0,1,17,0,3,49,10.2,,,
Ric Seiling,28,BUF,RW,69,12,13,25,-5,74,12,0,0,1,8,2,3,85,14.1,,,
Morris Lukowich,29,2TM,LW,69,12,13,25,-18,61,12,0,0,0,9,4,0,110,10.9,,,
Morris Lukowich,29,BOS,LW,14,1,4,5,2,10,1,0,0,0,3,1,0,25,4.0,,,
Morris Lukowich,29,LAK,LW,55,11,9,20,-20,51,11,0,0,0,6,3,0,85,12.9,,,
Gino Cavallini,23,2TM,LW,57,13,12,25,-7,62,8,5,0,0,9,3,0,95,13.7,,,
Gino Cavallini,23,CGY,LW,27,7,7,14,-4,26,3,4,0,0,4,3,0,51,13.7,,,
Gino Cavallini,23,STL,LW,30,6,5,11,-3,36,5,1,0,0,5,0,0,44,13.6,,,
Uli Hiemer,23,NJD,D,50,8,16,24,0,61,2,6,0,1,9,7,0,100,8.0,,,
Tom McCarthy,25,MNS,LW,25,12,12,24,-3,12,8,4,0,2,7,5,0,45,26.7,,,
Ric Nattress,23,STL,D,78,4,20,24,-8,52,3,1,0,2,12,8,0,124,3.2,,,
Craig Redmond,20,LAK,D,73,6,18,24,-34,57,3,3,0,0,11,6,1,116,5.2,,,
Ulf Samuelsson,21,HAR,D,80,5,19,24,8,174,4,0,1,1,15,4,0,72,6.9,,,
Steve Smith,22,EDM,D,55,4,20,24,28,166,3,1,0,1,15,4,1,74,5.4,,,
Bill Watson,21,CBH,RW,52,8,16,24,-4,2,6,2,0,0,12,4,0,67,11.9,,,
Steve Patrick,24,2TM,RW,55,8,16,24,-6,54,7,1,0,0,12,4,0,49,16.3,,,
Steve Patrick,24,NYR,RW,28,4,3,7,-7,37,4,0,0,0,3,0,0,20,20.0,,,
Steve Patrick,24,QUE,RW,27,4,13,17,1,17,3,1,0,0,9,4,0,29,13.8,,,
